Estación,Longitud,Latitud
1,-99.168051,19.433296
2,-99.171695,19.431386
3,-99.158668,19.431655
4,-99.171713,19.428309
5,-99.169363,19.42972
6,-99.166959,19.430922
7,-99.175166,19.425468
8,-99.158317,19.431141
9,-99.169918,19.428009
10,-99.154752,19.433321
11,-99.163593,19.430992
12,-99.161597,19.432313
13,-99.175558,19.423778
14,-99.173261,19.424768
15,-99.171567,19.425477
16,-99.169164,19.42653
17,-99.167125,19.427501
18,-99.165543,19.42836
19,-99.161675,19.43001
20,-99.160206,19.430964
21,-99.175124,19.423317
22,-99.172575,19.424375
23,-99.170414,19.425483
24,-99.168992,19.426102
25,-99.166946,19.426944
26,-99.154726,19.432685
27,-99.162614,19.429115
28,-99.172494,19.423542
29,-99.149939,19.434913
30,-99.164323,19.426442
31,-99.161193,19.427838
32,-99.169922,19.422705
33,-99.166431,19.424234
34,-99.163503,19.424539
35,-99.163123,19.424572
36,-99.175778,19.419725
37,-99.172676,19.420419
38,-99.171407,19.420801
39,-99.167153,19.422484
40,-99.164297,19.42223
41,-99.150137,19.435637
42,-99.168238,19.420472
43,-99.146063,19.435228
44,-99.174761,19.418057
45,-99.172127,19.418649
46,-99.169732,19.419214
47,-99.166299,19.419515
48,-99.146557,19.433686
49,-99.175704,19.416712
50,-99.173648,19.416938
51,-99.168248,19.417995
52,-99.142039,19.436236
53,-99.178433,19.414773
54,-99.170825,19.416215
55,-99.138064,19.434356
56,-99.165702,19.416959
57,-99.17495,19.414903
58,-99.171793,19.41568
59,-99.166661,19.415121
60,-99.177123,19.414191
61,-99.169525,19.413742
62,-99.175202,19.413322
63,-99.171531,19.413681
64,-99.166986,19.412877
65,-99.139906,19.436142
66,-99.178666,19.411402
67,-99.17588,19.411797
68,-99.17406,19.411556
69,-99.168111,19.410733
70,-99.169718,19.411272
71,-99.171351,19.411423
72,-99.179544,19.409893
73,-99.175612,19.410245
74,-99.172831,19.410343
75,-99.17669,19.408722
76,-99.170462,19.409439
77,-99.178321,19.406765
78,-99.177382,19.407503
79,-99.174427,19.407534
80,-99.172118,19.407307
81,-99.168475,19.408006
82,-99.143686,19.433115
83,-99.172117,19.406296
84,-99.169587,19.40702
85,-99.162508,19.43425
86,-99.159077,19.432378
87,-99.13974,19.43182
88,-99.135303,19.433815
89,-99.133989,19.434946
90,-99.132446,19.431698
91,-99.137571,19.4374
92,-99.131497,19.436531
93,-99.134811,19.436741
94,-99.130918,19.433766
95,-99.133698,19.430722
96,-99.14248,19.430625
97,-99.132759,19.429189
98,-99.14861,19.430267
99,-99.14591,19.42995
100,-99.1338,19.428485
101,-99.135895,19.428366
102,-99.13949,19.42821
103,-99.165217,19.441669
104,-99.137116,19.427059
105,-99.135014,19.426755
106,-99.133537,19.42649
107,-99.149971,19.427329
108,-99.149533,19.427305
109,-99.137421,19.425311
110,-99.14339,19.42513
111,-99.166474,19.438371
112,-99.151734,19.432819
113,-99.154419,19.430369
114,-99.153618,19.428989
115,-99.159698,19.429947
116,-99.15664,19.428985
117,-99.160369,19.427132
118,-99.158251,19.427114
119,-99.15554,19.42679
120,-99.159458,19.425437
121,-99.161317,19.424137
122,-99.146337,19.425502
123,-99.153117,19.424161
124,-99.150358,19.422392
125,-99.156204,19.424541
126,-99.162138,19.422288
127,-99.15833,19.423318
128,-99.160645,19.422148
129,-99.163312,19.4206
130,-99.158015,19.421576
131,-99.161314,19.419579
132,-99.15645,19.420667
133,-99.154725,19.421138
134,-99.15956,19.418304
135,-99.155099,19.419225
136,-99.162729,19.417715
137,-99.157081,19.418774
138,-99.155313,19.417702
139,-99.162097,19.416128
140,-99.156853,19.416605
141,-99.15954,19.415905
142,-99.164121,19.413232
143,-99.157542,19.414303
144,-99.154837,19.415192
145,-99.160661,19.41286
146,-99.165716,19.410737
147,-99.158443,19.412182
148,-99.155116,19.412829
149,-99.155699,19.41199
150,-99.164292,19.409965
151,-99.160873,19.410529
152,-99.167181,19.409098
153,-99.165141,19.407468
154,-99.167962,19.406683
155,-99.159911,19.408218
156,-99.162202,19.407121
157,-99.166616,19.406236
158,-99.155717,19.407447
159,-99.155373,19.407517
160,-99.16346,19.44025
161,-99.164913,19.405533
162,-99.162485,19.404907
163,-99.156431,19.405246
164,-99.16596,19.403204
165,-99.160503,19.404268
166,-99.183549,19.406069
167,-99.179375,19.404651
168,-99.1776,19.403997
169,-99.174934,19.403019
170,-99.184342,19.404029
171,-99.178199,19.402584
172,-99.181553,19.403365
173,-99.176398,19.401682
174,-99.16164,19.44111
175,-99.172645,19.400806
176,-99.152286,19.442689
177,-99.181692,19.408841
178,-99.180457,19.406833
179,-99.171438,19.404452
180,-99.169953,19.404554
181,-99.175095,19.404976
