Estación,Longitud,Latitud,Cluster
1,-99.168051,19.433296,15
2,-99.171695,19.431386,4
3,-99.158668,19.431655,15
4,-99.171713,19.428309,4
5,-99.169363,19.42972,15
6,-99.166959,19.430922,15
7,-99.175166,19.425468,4
8,-99.158317,19.431141,15
9,-99.169918,19.428009,4
10,-99.154752,19.433321,13
11,-99.163593,19.430992,15
12,-99.161597,19.432313,15
13,-99.175558,19.423778,4
14,-99.173261,19.424768,4
15,-99.171567,19.425477,4
16,-99.169164,19.42653,4
17,-99.167125,19.427501,15
18,-99.165543,19.42836,15
19,-99.161675,19.43001,15
20,-99.160206,19.430964,15
21,-99.175124,19.423317,4
22,-99.172575,19.424375,4
23,-99.170414,19.425483,4
24,-99.168992,19.426102,4
25,-99.166946,19.426944,15
26,-99.154726,19.432685,13
27,-99.162614,19.429115,15
28,-99.172494,19.423542,4
29,-99.149939,19.434913,13
30,-99.164323,19.426442,15
31,-99.161193,19.427838,15
32,-99.169922,19.422705,4
33,-99.166431,19.424234,15
34,-99.163503,19.424539,15
35,-99.163123,19.424572,15
36,-99.175778,19.419725,4
37,-99.172676,19.420419,4
38,-99.171407,19.420801,4
39,-99.167153,19.422484,15
40,-99.164297,19.42223,15
41,-99.150137,19.435637,13
42,-99.168238,19.420472,4
43,-99.146063,19.435228,10
44,-99.174761,19.418057,4
45,-99.172127,19.418649,4
46,-99.169732,19.419214,4
47,-99.166299,19.419515,15
48,-99.146557,19.433686,10
49,-99.175704,19.416712,4
50,-99.173648,19.416938,4
51,-99.168248,19.417995,4
52,-99.142039,19.436236,10
53,-99.178433,19.414773,4
54,-99.170825,19.416215,4
55,-99.138064,19.434356,1
56,-99.165702,19.416959,9
57,-99.17495,19.414903,4
58,-99.171793,19.41568,4
59,-99.166661,19.415121,9
60,-99.177123,19.414191,4
61,-99.169525,19.413742,9
62,-99.175202,19.413322,4
63,-99.171531,19.413681,9
64,-99.166986,19.412877,9
65,-99.139906,19.436142,1
66,-99.178666,19.411402,6
67,-99.17588,19.411797,9
68,-99.17406,19.411556,9
69,-99.168111,19.410733,9
70,-99.169718,19.411272,9
71,-99.171351,19.411423,9
72,-99.179544,19.409893,6
73,-99.175612,19.410245,9
74,-99.172831,19.410343,9
75,-99.17669,19.408722,6
76,-99.170462,19.409439,9
77,-99.178321,19.406765,6
78,-99.177382,19.407503,6
79,-99.174427,19.407534,9
80,-99.172118,19.407307,9
81,-99.168475,19.408006,9
82,-99.143686,19.433115,10
83,-99.172117,19.406296,9
84,-99.169587,19.40702,9
85,-99.162508,19.43425,15
86,-99.159077,19.432378,15
87,-99.13974,19.43182,1
88,-99.135303,19.433815,1
89,-99.133989,19.434946,1
90,-99.132446,19.431698,1
91,-99.137571,19.4374,1
92,-99.131497,19.436531,1
93,-99.134811,19.436741,1
94,-99.130918,19.433766,1
95,-99.133698,19.430722,1
96,-99.14248,19.430625,10
97,-99.132759,19.429189,1
98,-99.14861,19.430267,10
99,-99.14591,19.42995,10
100,-99.1338,19.428485,1
101,-99.135895,19.428366,1
102,-99.13949,19.42821,1
103,-99.165217,19.441669,15
104,-99.137116,19.427059,1
105,-99.135014,19.426755,1
106,-99.133537,19.42649,1
107,-99.149971,19.427329,10
108,-99.149533,19.427305,10
109,-99.137421,19.425311,1
110,-99.14339,19.42513,10
111,-99.166474,19.438371,15
112,-99.151734,19.432819,13
113,-99.154419,19.430369,12
114,-99.153618,19.428989,12
115,-99.159698,19.429947,15
116,-99.15664,19.428985,12
117,-99.160369,19.427132,15
118,-99.158251,19.427114,12
119,-99.15554,19.42679,12
120,-99.159458,19.425437,12
121,-99.161317,19.424137,15
122,-99.146337,19.425502,10
123,-99.153117,19.424161,12
124,-99.150358,19.422392,12
125,-99.156204,19.424541,12
126,-99.162138,19.422288,15
127,-99.15833,19.423318,12
128,-99.160645,19.422148,12
129,-99.163312,19.4206,15
130,-99.158015,19.421576,12
131,-99.161314,19.419579,12
132,-99.15645,19.420667,12
133,-99.154725,19.421138,12
134,-99.15956,19.418304,12
135,-99.155099,19.419225,12
136,-99.162729,19.417715,7
137,-99.157081,19.418774,12
138,-99.155313,19.417702,12
139,-99.162097,19.416128,7
140,-99.156853,19.416605,12
141,-99.15954,19.415905,7
142,-99.164121,19.413232,7
143,-99.157542,19.414303,7
144,-99.154837,19.415192,12
145,-99.160661,19.41286,7
146,-99.165716,19.410737,9
147,-99.158443,19.412182,7
148,-99.155116,19.412829,7
149,-99.155699,19.41199,7
150,-99.164292,19.409965,7
151,-99.160873,19.410529,7
152,-99.167181,19.409098,9
153,-99.165141,19.407468,9
154,-99.167962,19.406683,9
155,-99.159911,19.408218,7
156,-99.162202,19.407121,7
157,-99.166616,19.406236,9
158,-99.155717,19.407447,7
159,-99.155373,19.407517,7
160,-99.16346,19.44025,15
161,-99.164913,19.405533,9
162,-99.162485,19.404907,7
163,-99.156431,19.405246,7
164,-99.16596,19.403204,9
165,-99.160503,19.404268,7
166,-99.183549,19.406069,6
167,-99.179375,19.404651,6
168,-99.1776,19.403997,6
169,-99.174934,19.403019,9
170,-99.184342,19.404029,6
171,-99.178199,19.402584,6
172,-99.181553,19.403365,6
173,-99.176398,19.401682,6
174,-99.16164,19.44111,15
175,-99.172645,19.400806,9
176,-99.152286,19.442689,13
177,-99.181692,19.408841,6
178,-99.180457,19.406833,6
179,-99.171438,19.404452,9
180,-99.169953,19.404554,9
181,-99.175095,19.404976,9
182,-99.17139,19.402089,9
183,-99.16402,19.43767,15
184,-99.18508,19.41479,6
185,-99.1828,19.4128,6
186,-99.18875,19.41249,6
187,-99.18551,19.41123,6
188,-99.19014,19.41171,6
189,-99.18798,19.41004,6
190,-99.183833,19.409569,6
191,-99.18795,19.4079,6
192,-99.190755,19.42592,11
193,-99.190733,19.425907,11
194,-99.180334,19.424282,4
195,-99.185147,19.424926,11
196,-99.192904,19.438349,11
197,-99.204316,19.440077,14
198,-99.203888,19.438168,14
199,-99.197241,19.437934,14
200,-99.188785,19.437596,11
201,-99.187215,19.437431,11
202,-99.198943,19.43617,14
203,-99.194832,19.435985,11
204,-99.19152,19.435882,11
205,-99.184713,19.435525,11
