Estación,Longitud,Latitud,Cluster
1,-99.168051,19.433296,3
2,-99.171695,19.431386,3
3,-99.158668,19.431655,5
4,-99.171713,19.428309,3
5,-99.169363,19.42972,3
6,-99.166959,19.430922,3
7,-99.175166,19.425468,3
8,-99.158317,19.431141,5
9,-99.169918,19.428009,3
10,-99.154752,19.433321,5
11,-99.163593,19.430992,5
12,-99.161597,19.432313,5
13,-99.175558,19.423778,3
14,-99.173261,19.424768,3
15,-99.171567,19.425477,3
16,-99.169164,19.42653,3
17,-99.167125,19.427501,3
18,-99.165543,19.42836,3
19,-99.161675,19.43001,5
20,-99.160206,19.430964,5
21,-99.175124,19.423317,3
22,-99.172575,19.424375,3
23,-99.170414,19.425483,3
24,-99.168992,19.426102,3
25,-99.166946,19.426944,3
26,-99.154726,19.432685,5
27,-99.162614,19.429115,5
28,-99.172494,19.423542,3
29,-99.149939,19.434913,5
30,-99.164323,19.426442,3
31,-99.161193,19.427838,5
32,-99.169922,19.422705,3
33,-99.166431,19.424234,3
34,-99.163503,19.424539,6
35,-99.163123,19.424572,6
36,-99.175778,19.419725,3
37,-99.172676,19.420419,3
38,-99.171407,19.420801,3
39,-99.167153,19.422484,3
40,-99.164297,19.42223,6
41,-99.150137,19.435637,5
42,-99.168238,19.420472,3
43,-99.146063,19.435228,7
44,-99.174761,19.418057,3
45,-99.172127,19.418649,3
46,-99.169732,19.419214,3
47,-99.166299,19.419515,3
48,-99.146557,19.433686,7
49,-99.175704,19.416712,11
50,-99.173648,19.416938,3
51,-99.168248,19.417995,3
52,-99.142039,19.436236,7
53,-99.178433,19.414773,11
54,-99.170825,19.416215,3
55,-99.138064,19.434356,7
56,-99.165702,19.416959,6
57,-99.17495,19.414903,11
58,-99.171793,19.41568,3
59,-99.166661,19.415121,6
60,-99.177123,19.414191,11
61,-99.169525,19.413742,3
62,-99.175202,19.413322,11
63,-99.171531,19.413681,3
64,-99.166986,19.412877,6
65,-99.139906,19.436142,7
66,-99.178666,19.411402,11
67,-99.17588,19.411797,11
68,-99.17406,19.411556,11
69,-99.168111,19.410733,6
70,-99.169718,19.411272,3
71,-99.171351,19.411423,11
72,-99.179544,19.409893,11
73,-99.175612,19.410245,11
74,-99.172831,19.410343,11
75,-99.17669,19.408722,11
76,-99.170462,19.409439,11
77,-99.178321,19.406765,11
78,-99.177382,19.407503,11
