Estación,Latitud,Longitud
3,-99.158668,19.431655
7,-99.175166,19.425468
8,-99.158317,19.431141
9,-99.169918,19.428009
13,-99.175558,19.423778
14,-99.173261,19.424768
15,-99.171567,19.425477
16,-99.169164,19.42653
17,-99.167125,19.427501
19,-99.161675,19.43001
20,-99.160206,19.430964
21,-99.175124,19.423317
22,-99.172575,19.424375
23,-99.170414,19.425483
24,-99.168992,19.426102
28,-99.172494,19.423542
35,-99.163123,19.424572
36,-99.175778,19.419725
37,-99.172676,19.420419
43,-99.146063,19.435228
44,-99.174761,19.418057
62,-99.175202,19.413322
67,-99.17588,19.411797
68,-99.17406,19.411556
70,-99.169718,19.411272
71,-99.171351,19.411423
74,-99.172831,19.410343
78,-99.177382,19.407503
81,-99.168475,19.408006
84,-99.169587,19.40702
86,-99.159077,19.432378
95,-99.133698,19.430722
97,-99.132759,19.429189
104,-99.137116,19.427059
115,-99.159698,19.429947
130,-99.158015,19.421576
132,-99.15645,19.420667
154,-99.167962,19.406683
157,-99.166616,19.406236
168,-99.1776,19.403997
176,-99.152286,19.442689
200,-99.188785,19.437596
208,-99.189835,19.434182
211,-99.188528,19.433607
212,-99.188096,19.433567
218,-99.188033,19.432451
227,-99.207373,19.431791
229,-99.203331,19.430515
235,-99.20218,19.42933
236,-99.20243,19.42944
261,-99.175196,19.423704
264,-99.152935,19.440985
265,-99.152265,19.440839
266,-99.152187,19.444031
267,-99.152203,19.443735
268,-99.151586,19.442448
269,-99.151658,19.442467
271,-99.152465,19.442689
272,-99.152491,19.443467
273,-99.152956,19.442707
274,-99.153289,19.442772
275,-99.153164,19.441062
284,-99.172981,19.397693
290,-99.172667,19.396333
292,-99.166264,19.396917
302,-99.171466,19.393832
303,-99.173025,19.394842
304,-99.173821,19.395043
305,-99.175531,19.394693
306,-99.175664,19.393699
307,-99.175834,19.393701
328,-99.184742,19.392586
360,-99.1628259,19.3790279
361,-99.1762233,19.3804457
369,-99.177478,19.379884
384,-99.185583,19.375873
385,-99.18558,19.375651
386,-99.185846,19.37484
387,-99.18050556,19.37455556
389,-99.179356,19.373528
390,-99.17826,19.373228
391,-99.178283,19.373142
394,-99.171592,19.372437
399,-99.164519,19.372407
410,-99.158063,19.36564
411,-99.163626,19.367864
438,-99.17458333,19.36479722
449,-99.174393,19.42018
451,-99.201322,19.42902
